LabelforTranslation,de,en_GB,en_MX,en_US,SLNo,pt_BR,pl,fr,es,Display
By Engagement Program,By Engagement Program,By Engagement Program,By Engagement Program,By Engagement Program,244,By Engagement Program,By Engagement Program,By Engagement Program,By Engagement Program,By Engagement Program
By Quantity,By Quantity,By Quantity,By Quantity,By Quantity,245,By Quantity,By Quantity,By Quantity,By Quantity,By Quantity
Number of,Number of,Number of,Number of,Number of,246,Number of,Number of,Number of,Number of,Number of
Total Number of,Total Number of,Total Number of,Total Number of,Total Number of,247,Total Number of,Total Number of,Total Number of,Total Number of,Total Number of
"By Status  ","By Status  ","By Status  ","By Status  ","By Status  ",248,"By Status  ","By Status  ","By Status  ","By Status  ","By Status  "
Completed vs Not Completed,Completed vs Not Completed,Completed vs Not Completed,Completed vs Not Completed,Completed vs Not Completed,249,Completed vs Not Completed,Completed vs Not Completed,Completed vs Not Completed,Completed vs Not Completed,Completed vs Not Completed
Touchpoint Activities,Touchpoint Activities,Touchpoint Activities,Touchpoint Activities,Touchpoint Activities,250,Touchpoint Activities,Touchpoint Activities,Touchpoint Activities,Touchpoint Activities,Touchpoint Activities
Activities,Activities,Activities,Activities,Activities,251,Activities,Activities,Activities,Activities,Activities
Assigned Activities vs Not Assigned Activities,Assigned Activities vs Not Assigned Activities,Assigned Activities vs Not Assigned Activities,Assigned Activities vs Not Assigned Activities,Assigned Activities vs Not Assigned Activities,252,Assigned Activities vs Not Assigned Activities,Assigned Activities vs Not Assigned Activities,Assigned Activities vs Not Assigned Activities,Assigned Activities vs Not Assigned Activities,Assigned Activities vs Not Assigned Activities
Number of Touchpoints,Number of Touchpoints,Number of Touchpoints,Number of Touchpoints,Number of Touchpoints,253,Number of Touchpoints,Number of Touchpoints,Number of Touchpoints,Number of Touchpoints,Number of Touchpoints
Sales Plan,Sales Plan,Sales Plan,Sales Plan,Sales Plan,254,Sales Plan,Sales Plan,Sales Plan,Sales Plan,Sales Plan
"Net Sales ","Net Sales ","Net Sales ","Net Sales ","Net Sales ",255,"Net Sales ","Net Sales ","Net Sales ","Net Sales ","Net Sales "
Future Season Forecast,Future Season Forecast,Future Season Forecast,Future Season Forecast,Future Season Forecast,256,Future Season Forecast,Future Season Forecast,Future Season Forecast,Future Season Forecast,Future Season Forecast
Net Sales,Net Sales,Net Sales,Net Sales,Net Sales,257,Net Sales,Net Sales,Net Sales,Net Sales,Net Sales
Share of Wallet,Share of Wallet,Share of Wallet,Share of Wallet,Share of Wallet,258,Share of Wallet,Share of Wallet,Share of Wallet,Share of Wallet,Share of Wallet
Vegetables,Vegetables,Vegetables,Vegetables,Vegetables,259,Vegetables,Vegetables,Vegetables,Vegetables,Vegetables
"ENGAGEMENT PROGRAMS, ACTIVITIES & RESOURCES","ENGAGEMENT PROGRAMS, ACTIVITIES & RESOURCES","ENGAGEMENT PROGRAMS, ACTIVITIES & RESOURCES","ENGAGEMENT PROGRAMS, ACTIVITIES & RESOURCES","ENGAGEMENT PROGRAMS, ACTIVITIES & RESOURCES",260,"ENGAGEMENT PROGRAMS, ACTIVITIES & RESOURCES","ENGAGEMENT PROGRAMS, ACTIVITIES & RESOURCES","ENGAGEMENT PROGRAMS, ACTIVITIES & RESOURCES","ENGAGEMENT PROGRAMS, ACTIVITIES & RESOURCES","ENGAGEMENT PROGRAMS, ACTIVITIES & RESOURCES"
Resource Status,Resource Status,Resource Status,Resource Status,Resource Status,261,Resource Status,Resource Status,Resource Status,Resource Status,Resource Status
Engagement Program Name,Engagement Program Name,Engagement Program Name,Engagement Program Name,Engagement Program Name,262,Engagement Program Name,Engagement Program Name,Engagement Program Name,Engagement Program Name,Engagement Program Name
Resource Quantity,Resource Quantity,Resource Quantity,Resource Quantity,Resource Quantity,263,Resource Quantity,Resource Quantity,Resource Quantity,Resource Quantity,Resource Quantity
Engagement Activity Status,Engagement Activity Status,Engagement Activity Status,Engagement Activity Status,Engagement Activity Status,264,Engagement Activity Status,Engagement Activity Status,Engagement Activity Status,Engagement Activity Status,Engagement Activity Status
Number of Engagement Activities,Number of Engagement Activities,Number of Engagement Activities,Number of Engagement Activities,Number of Engagement Activities,265,Number of Engagement Activities,Number of Engagement Activities,Number of Engagement Activities,Number of Engagement Activities,Number of Engagement Activities
Engagement Activity ID,Engagement Activity ID,Engagement Activity ID,Engagement Activity ID,Engagement Activity ID,266,Engagement Activity ID,Engagement Activity ID,Engagement Activity ID,Engagement Activity ID,Engagement Activity ID
